Entry Name,GLP1R_3PA_GLP1_1 MaxLFQ Intensity,GLP1R_3PA_GLP1_2 MaxLFQ Intensity,GLP1R_3PA_GLP1_3 MaxLFQ Intensity,GLP1R_3PA_GLP1_4 MaxLFQ Intensity,GLP1R_3PA_VEH_1 MaxLFQ Intensity,GLP1R_3PA_VEH_2 MaxLFQ Intensity,GLP1R_3PA_VEH_3 MaxLFQ Intensity,GLP1R_3PA_VEH_4 MaxLFQ Intensity,GLP1R_WT_GLP1_1 MaxLFQ Intensity,GLP1R_WT_GLP1_2 MaxLFQ Intensity,GLP1R_WT_GLP1_3 MaxLFQ Intensity,GLP1R_WT_GLP1_4 MaxLFQ Intensity,GLP1R_WT_VEH_1 MaxLFQ Intensity,GLP1R_WT_VEH_2 MaxLFQ Intensity,GLP1R_WT_VEH_3 MaxLFQ Intensity,GLP1R_WT_VEH_4 MaxLFQ Intensity,NEG_1 MaxLFQ Intensity
RS18_RAT,5870800.5,6445815.5,6505386.0,6230371.5,6314512.5,5792650.5,6282042.0,5835915.5,6114585.0,6169147.5,6655160.5,6124815.5,6281881.0,6238690.0,6679433.0,6258951.0,7956161.5
RS29_RAT,738148.56,936317.1,817002.75,830049.75,787180.9,762856.0,817702.5,830218.6,820292.9,532532.44,809048.25,732006.06,762100.25,984387.8,1066110.2,1080596.6,1066722.1
RS13_RAT,1762497.2,2058031.9,1825097.8,1939451.1,1915068.8,1775635.6,1830548.8,1815411.0,1592283.4,1483898.8,1688545.9,1462174.8,1616065.4,1622016.6,1636891.2,1743154.1,2398972.5
RS11_RAT,804905.7,894012.25,780270.6,821660.3,977509.7,685894.4,847904.5,845041.25,771174.2,632535.44,710632.5,620677.56,859073.94,886961.44,987563.25,1063903.0,868024.25
ARF6_RAT,32406.688,35894.24,30160.088,31310.824,31258.79,33132.83,31146.283,26854.156,34095.33,32488.193,32320.65,27558.045,29561.38,26794.703,31590.61,28830.637,36404.703
RL7A_RAT,1308411.6,1382941.8,1254990.9,1291459.6,1355308.8,1164383.9,1236474.2,1146122.1,1091054.5,1055156.5,1098652.2,1104730.0,1066950.9,1050600.2,1027343.06,1103070.6,1158842.8
EF1A1_RAT,1368851.4,1354647.2,1337017.9,1302278.4,1611944.8,1375159.2,1542951.4,1529863.5,1377549.1,1455380.6,1480104.6,1378328.2,1605247.4,1680455.8,1771427.9,1740326.9,1598680.5
EF1A2_RAT,132475.7,134872.34,144971.52,130246.9,128924.0,143686.23,130717.016,137739.89,133338.11,150976.33,158378.16,148889.19,156854.75,168623.42,162632.48,156306.44,326301.8
CNBP_RAT,49216.223,44277.336,42394.824,45936.766,56228.18,47774.863,50175.76,38858.96,44521.605,31697.75,43120.88,23322.016,56746.316,55801.094,49709.17,57632.04,325587.56
RS4X_RAT,2019331.5,2088648.5,2054552.9,2029920.4,2041113.1,1993452.6,2072743.4,2148688.0,1877174.0,1737485.1,1825980.9,1655392.9,1821159.2,2025626.1,2128091.8,2062509.8,2497609.8
